"
Associated PressGlendale",2018-01-17 00:17EST,Hockey
"
Michel MaroisLa PresseSuivre @michelmarois",2018-01-17 06:04EST,Tennis
"
La Presse Canadienne",2018-01-17 06:27EST,Faits divers
"
Ekaterina ANISIMOVA, Marina LAPENKOVA, Germain MOYONAgence France-PresseMoscou",2018-01-17 06:30EST,Europe
"
Agence France-PresseWashington",2018-01-17 06:36EST,États-Unis
"
Agence France-PresseMexico",2018-01-17 06:40EST,Amérique latine
"
Daniel BOSQUE, Michaëla CANCELA-KIEFFERAgence France-PresseBarcelone et Madrid",2018-01-17 06:44EST,Europe
"
Catherine TriompheAgence France-PresseNew York",2018-01-17 06:50EST,International
"
Agence France-PresseSan Francisco",2018-01-17 06:53EST,Internet
"
Agence France-PresseFrancfort",2018-01-17 06:58EST,Automobile
"
Julien ArsenaultLa Presse Canadienne",2018-01-17 07:02EST,Actualités
"
Clarisse LUCASAgence France-PresseLaval",2018-01-17 07:04EST,Agroalimentaire
"
Martin CroteauLa PresseSuivre @martincroteau",2018-01-17 07:10EST,Politique québécoise
"
Ali BEKHTAOUIAgence France-PresseNew York",2018-01-17 07:09EST,Marchés
"
Agence France-PresseJérusalem",2018-01-17 07:18EST,Moyen-Orient
"
Richard DufourLa Presse",2018-01-17 07:22EST,Québec
"
Jean-François CodèreLa PresseSuivre @jfcodere",2018-01-17 07:25EST,Fabrication
"
Marie-Eve FournierLa PresseSuivre @mevefournier",2018-01-17 07:28EST,Commerce de détail
"
Stéphanie MarinLa Presse CanadienneSherbrooke",2018-01-17 07:28EST,Procès
"
André DubucLa Presse",2018-01-17 07:30EST,Québec
"
Martin VallièresLa PresseSuivre @martinvalliere",2018-01-17 07:32EST,Services financiers
"
Philippe Teisceira-LessardLa PresseSuivre @Philippetei",2018-01-17 07:35EST,Grand Montréal
"
Agence France-PresseCOX'S BAZAR",2018-01-17 07:39EST,Asie & Océanie
"
Agence France-PresseRiyad",2018-01-17 07:46EST,International
"
Pierre-André NormandinLa PresseSuivre @PaNormandin",2018-01-17 07:52EST,Grand Montréal
"
Agence France-PressePékin",2018-01-17 07:52EST,International
"
Catherine MARCIANO, Paulina ABRAMOVICHAgence France-PresseTEMUCO",2018-01-17 07:59EST,Amérique latine
"
Associated Press",2018-01-17 08:10EST,Entreprises
"
Joseph DYKEAgence France-PresseRamallah",2018-01-17 08:15EST,Moyen-Orient
"
Khurram SHAHZADAgence France-PresseKasur",2018-01-17 08:21EST,Asie & Océanie
"
Marc TisonLa Presse",2018-01-17 08:26EST,Finances personnelles
"
Martin VallièresLa PresseSuivre @martinvalliere",2018-01-17 08:33EST,Finances personnelles
"
Agence France-Presse",2018-01-17 08:45EST,PyeongChang 2018
"
Éric ClémentLa PresseSuivre @Eric_Clement",2018-01-17 09:05EST,Arts visuels
"
Jean SiagLa Presse",2018-01-17 09:16EST,Cirque
"
Kathleen LévesqueLa PresseSuivre @katlevesque",2018-01-17 09:16EST,Grand Montréal
"
Émilie CôtéLa PresseSuivre @emicote",2018-01-17 09:19EST,Musique
"
Agence France-PresseLondres",2018-01-17 09:21EST,Marchés
"
Evelyne AudetLa PresseSuivre @evelyneaudet",2018-01-17 09:22EST,Aubaines
"
Pierre-André NormandinLa PresseSuivre @PaNormandin",2018-01-17 09:27EST,Grand Montréal
"
Sylvain SarrazinLa PresseSuivre @ssarrazin",2018-01-17 09:34EST,Thaïlande
"
Christiane DesjardinsLa PresseSuivre @chridesjardins",2018-01-17 09:39EST,Décoration
"
Lia LévesqueLa Presse Canadienne",2018-01-17 09:41EST,Québec
"
Agence France-PresseBERLIN",2018-01-17 09:39EST,Europe
"
AFP-PC",2018-01-17 09:47EST,Marchés
"
Karyne Duplessis PichéCollaboration spécialeLa Presse",2018-01-17 09:48EST,Vins à découvrir
"
John PyeAssociated PressMelbourne, Australie",2018-01-17 09:48EST,Tennis
"
Marie AllardLa PresseSuivre @AllardMarie",2018-01-17 10:02EST,Famille
"
Louis-Samuel PerronLa PresseSuivre @lsp_10",2018-01-17 10:02EST,Procès
"
Tanja VUJISIC, Ismet HAJDARIAgence France-PressePRISTINA, MITROVICA",2018-01-17 10:02EST,Europe
"
Maxime BergeronLa PresseSuivre @maxbergeron",2018-01-17 10:03EST,Canada
"
Michel MaroisLa PresseSuivre @michelmarois",2018-01-17 10:00EST,Tennis
"
Agence France-PresseMoscou",2018-01-17 10:15EST,Athlétisme
"
Steve WEIZMANAgence France-PresseTRIBUNAL MILITAIRE ISRAELIEN D'OFER",2018-01-17 10:19EST,Moyen-Orient
"
Richard LabbéLa PresseSuivre @Richardlabbe",2018-01-17 11:00EST,Hockey
"
Kathleen LévesqueLa PresseSuivre @katlevesque",2018-01-17 10:30EST,Procès
"
Agence France-PressePÉKIN",2018-01-17 10:36EST,Asie & Océanie
"
Agence France-PressePÉKIN",2018-01-17 10:36EST,Asie & Océanie
"
Agence France-PresseBUCAREST",2018-01-17 10:40EST,Europe
"
La Presse CanadienneMONTRÉAL",2018-01-17 10:40EST,Télévision
"
Geneviève BouchardLe SoleilSuivre @GenBouchard",2018-01-17 10:49EST,Grand Montréal comédie fest
"
Pauline FROISSARTAgence France-PresseLondres",2018-01-17 10:51EST,Pollution
"
Valérie LEROUXAgence France-PressePARIS",2018-01-17 10:49EST,Europe
"
Fanny LévesqueLa PresseSuivre @FannyLevesque",2018-01-17 10:55EST,Grand Montréal
"
Agence France-PresseJakarta",2018-01-17 10:53EST,Espèces menacées
"
Alain BrunetLa Presse",2018-01-17 10:58EST,Musique classique
"
Jerome CARTILLIERAgence France-PresseWashington",2018-01-17 10:57EST,États-Unis
"
André DuchesneLa Presse",2018-01-17 11:02EST,Télévision
"
Sébastien BLANCAgence France-PresseWashington",2018-01-17 11:08EST,États-Unis
"
Agence France-PresseMoscou",2018-01-17 11:12EST,Mobilité
"
Normand ProvencherLe SoleilSuivre @NormProvencher",2018-01-17 11:06EST,Berlinale
"
Agence France-PresseVARSOVIE",2018-01-17 11:17EST,Europe
"
Iris Gagnon-ParadisLa Presse",2018-01-17 11:16EST,Restaurants
"
Agence France-PresseGENÈVE",2018-01-17 11:23EST,Afrique
"
Joanna Smith, Kristy KirkupLa Presse CanadienneOttawa",2018-01-17 08:31EST,Politique canadienne
"
Jim BronskillLa Presse CanadienneOttawa",2018-01-17 11:35EST,Politique canadienne
"
Marc AllardLe Soleil",2018-01-17 08:44EST,Régional
"
Agence France-Presse",2018-01-17 11:45EST,Europe
"
Catherine TRIOMPHEAgence France-PresseNEW YORK",2018-01-17 11:35EST,Cinéma
"
Agence France-PressePARIS",2018-01-17 11:52EST,Mode
"
Jean-Thomas LéveilléLa PresseSuivre @JTLeveille_LP",2018-01-17 12:00EST,Politique canadienne
"
Rachel O'Brien, Lajla VeselicaAgence France-PresseRIJEKA",2018-01-17 12:01EST,Nouvelles
"
Joseph DYKEAgence France-PresseRAMALLAH",2018-01-17 12:06EST,Moyen-Orient
"
Agence France-PresseSTRASBOURG",2018-01-17 12:35EST,Europe
"
Lina DibLa Presse CanadienneOttawa",2018-01-17 12:37EST,Actualités judiciaires
"
Michael MathesAgence France-PresseWashington",2018-01-17 12:38EST,États-Unis
"
Jean-François TremblayLa PresseSuivre @JFTremblay_LP",2018-01-17 12:37EST,Hockey
"
Jean-François TremblayLa PresseSuivre @JFTremblay_LP",2018-01-17 13:13EST,Hockey
"
Agence France-PresseParis",2018-01-17 13:19EST,Nouvelles
"
La Presse",2018-01-17 13:22EST,Soccer
"
Alain BrunetLa PresseSuivre @ABAlainBrunet",2018-01-17 13:28EST,Autres festivals
"
Agence France-PresseKano",2018-01-17 13:25EST,Afrique
"
Ken SweetAssociated PressNEW YORK",2018-01-17 13:32EST,Entreprises
"
André DuchesneLa Presse",2018-01-17 13:37EST,Musique
"
Josée LapointeLa Presse",2018-01-17 13:40EST,Livres
"
Agence France-Presse",2018-01-17 13:53EST,Économie
"
Lia LévesqueLa Presse CanadienneMONTRÉAL",2018-01-17 14:02EST,Énergie et ressources
"
Associated PressWashington",2018-01-17 14:05EST,États-Unis
"
Alexander PanettaLa Presse CanadienneWASHINGTON",2018-01-17 14:06EST,Entreprises
"
Agence France-PresseBEYROUTH",2018-01-17 14:15EST,Nouvelles
"
Will GravesAssociated PressPittsburgh",2018-01-17 14:19EST,Football
"
La Presse CanadienneTORONTO",2018-01-17 14:28EST,Commerce de détail
"
La Presse Canadienne",2018-01-17 14:35EST,Énergie et ressources
"
Louis-Samuel PerronLa PresseSuivre @lsp_10",2018-01-17 14:47EST,Affaires criminelles
"
Agence France-PresseWashington",2018-01-17 15:00EST,La menace nord-coréenne
"
La Presse Canadienne",2018-01-17 15:04EST,Québec
"
Agence France-PresseWashington",2018-01-17 15:10EST,États-Unis
"
Martin CroteauLa PresseSuivre @martincroteau",2018-01-17 15:11EST,Politique québécoise
"
Agence France-PresseNEW YORK",2018-01-17 15:19EST,Énergie et ressources
"
La Presse Canadienne",2018-01-17 15:22EST,Actualités judiciaires
"
Martine PAUWELSAgence France-PresseLondres",2018-01-17 15:25EST,Europe
"
Lia LévesqueLa Presse CanadienneMONTRÉAL",2018-01-17 15:36EST,Canada
"
La Presse CanadienneLas Vegas",2018-01-17 15:37EST,Musique
"
Associated PressPittsburgh",2018-01-17 15:42EST,Hockey
"
Alain de RepentignyLa PresseSuivre @alaindere",2018-01-17 15:44EST,Entrevues
"
Ugo GiguèreLa Presse Canadienne",2018-01-17 15:47EST,Actualités
"
Émilie CôtéLa Presse",2018-01-17 15:49EST,Musique
"
La Presse CanadienneTORONTO",2018-01-17 15:59EST,Services financiers
"
Philippe Teisceira-LessardLa PresseSuivre @Philippetei",2018-01-17 16:00EST,Actualités judiciaires
"
Agence France-PresseWashington",2018-01-17 16:05EST,Internet
"
Linda BarnardLa Presse Canadienne",2018-01-17 16:00EST,Festival de Sundance
"
Françoise MICHELAgence France-PressePARIS",2018-01-17 16:16EST,Mode
"
Kristy KirkupLa Presse CanadienneOttawa",2018-01-17 16:18EST,Politique canadienne
"
Agence France-PresseWashington",2018-01-17 16:55EST,Environnement
"
Joël-Denis BellavanceLa Presse",2018-01-17 17:08EST,Politique canadienne
"
Agence France-PresseNew York",2018-01-17 17:12EST,Énergie et ressources
"
Agence France-PresseWashington",2018-01-17 17:20EST,Guerre civile en Syrie
"
Louis-Samuel PerronLa PresseSuivre @lsp_10",2018-01-17 17:27EST,Justice et faits divers
"
Jordan PressLa Presse CanadienneOttawa",2018-01-17 17:33EST,Politique canadienne
"
Agence France-Presse",2018-01-17 17:43EST,Olympisme
"
La Presse Canadienne",2018-01-17 17:52EST,National
"
Kevin BissettLa Presse CanadienneFREDERICTON",2018-01-17 18:13EST,National
"
Agence France-PresseWashington",2018-01-17 18:33EST,Fabrication
"
Fanny LévesqueLa PresseSuivre @FannyLevesque",2018-01-17 18:43EST,Justice et faits divers
"
Carl Coiteux, Marc CoiteuxLettre ouverte au ministre",2018-01-17 18:52EST,Débats
"
Kristy KirkupLa Presse CanadienneOttawa",2018-01-17 19:02EST,Politique canadienne
"
Agence France-PresseLOS ANGELES",2018-01-17 19:19EST,Basketball
"
Frédéric DaigleLa Presse Canadienne",2018-01-17 20:07EST,Football
"
La Presse CanadienneMINNEAPOLIS",2018-01-17 20:47EST,Baseball
"
John PyeAssociated PressMelbourne, Australie",2018-01-17 21:02EST,Tennis
"
La Presse CanadienneLaval, Qc",2018-01-17 21:23EST,Le Canadien
"
Agence France-PresseWASHINGTON",2018-01-17 21:46EST,États-Unis
"
La Presse CanadienneToronto",2018-01-17 22:37EST,Justice et faits divers
"
La Presse CanadienneBoston",2018-01-17 22:45EST,Hockey
"
Agence France-Presse",2018-01-17 23:04EST,PyeongChang 2018
"
Agence France-PresseLOS ANGELES",2018-01-17 23:13EST,Télévision
"
Mathias BrunetSuivre @mathiasbrunet",2018-01-17 10:29EST,Mathias Brunet
"
Richard HétuSuivre @richardhetu",2018-01-17 16:38EST,International
"
Richard HétuSuivre @richardhetu",2018-01-17 12:58EST,International
"
Richard HétuSuivre @richardhetu",2018-01-17 10:17EST,International
"
Richard HétuSuivre @richardhetu",2018-01-17 08:45EST,International
"
Daniel RenaudLa PresseSuivre @DanielRenaud13",2018-01-18 05:00EST,Justice et faits divers
"
Stéphane LaporteCollaboration spécialeLa PresseSuivre @laportestephane",2018-01-18 00:12EST,Le clin d'oeil de Stéphane Laporte
"
Ariane KrolÉditorialisteLa PresseSuivre @ArianeKrol",2018-01-18 05:00EST,Ariane Krol
"
Joël-Denis BellavanceLa Presse",2018-01-18 05:00EST,National
"
Marie-Eve MorasseLa PresseSuivre @marieevemo",2018-01-18 00:05EST,Éducation
"
Yves BoisvertLa Presse",2018-01-18 05:00EST,Yves Boisvert
"
Maxime BergeronLa PresseSuivre @maxbergeron",2018-01-18 05:00EST,National
"
La Presse Canadienne",2018-01-18 06:05EST,Faits divers
"
La Presse CanadienneMelbourne, Australie",2018-01-18 06:17EST,Tennis
"
La Presse Canadienne",2018-01-18 06:29EST,Faits divers
"
Djallal MALTIAgence France-PresseParis",2018-01-18 06:29EST,Transports
"
La Presse Canadienne",2018-01-18 06:33EST,Québec
"
La Presse Canadienne",2018-01-18 06:38EST,Services financiers
"
Agence France-PresseParis",2018-01-18 06:41EST,Mobilité
"
Ludovic EHRETAgence France-PressePékin",2018-01-18 06:46EST,International
"
Julie CHARPENTRATAgence France-PresseSan Francisco",2018-01-18 06:50EST,Économie
"
Dana RYSMOUHAMEDOVAAgence France-PresseAstana",2018-01-18 06:55EST,Asie & Océanie
"
Agence France-PresseWashington",2018-01-18 06:58EST,États-Unis
"
Agence France-PresseMoscou",2018-01-18 07:03EST,Europe
"
Caroline TouzinLa PresseSuivre @ctouzin",2018-01-18 07:09EST,National
"
Agence France-PresseWashington",2018-01-18 07:11EST,États-Unis
"
Vincent Brousseau-PouliotLa PresseSuivre @vincentbp",2018-01-18 07:18EST,Économie
"
Richard DufourLa Presse",2018-01-18 07:21EST,Entreprises
"
Marie-Eve FournierLa PresseSuivre @mevefournier",2018-01-18 07:23EST,Commerce de détail
"
André DubucLa Presse",2018-01-18 07:25EST,Québec
"
André DuchesneLa Presse",2018-01-18 07:25EST,Cinéma
"
Jean-François CodèreLa PresseSuivre @jfcodere",2018-01-18 07:29EST,PME
"
Patrick BAERTAgence France-PressePékin",2018-01-18 07:37EST,Pollution
"
Agence France-PresseTokyo",2018-01-18 07:42EST,Astronomie et espace
"
La Presse Canadienne",2018-01-18 07:41EST,Faits divers
"
Agence France-PresseTokyo",2018-01-18 07:49EST,Jeux vidéo
"
Agence France-PresseSydney",2018-01-18 07:53EST,Techno
"
Mia RabsonLa Presse CanadienneOttawa",2018-01-18 07:57EST,Insolite
"
Vincent Brousseau-PouliotLa PresseSuivre @vincentbp",2018-01-18 07:59EST,Politique verte
"
Agence France-PresseIstanbul",2018-01-18 08:06EST,Moyen-Orient
"
Agence France-PresseRangoun",2018-01-18 08:08EST,Asie & Océanie
"
Mohammed SALIM, Ali CHOUKEIRAgence France-PresseMossoul et Bagdad",2018-01-18 08:15EST,Le groupe État islamique
"
Agence France-PresseBERLIN",2018-01-18 08:21EST,Europe
"
Marie WOLFROM, Francesco FONTEMAGGIAgence France-PresseParis et Washington",2018-01-18 08:34EST,International
"
Catherine TRIOMPHEAgence France-PresseNew York",2018-01-18 11:35EST,Cinéma
"
Agence France-PresseIquique",2018-01-18 08:44EST,Amérique latine
"
Simon-Olivier LorangeLa Presse",2018-01-18 08:55EST,Régional
"
Chantal GuyLa PresseSuivre @ChantalGuy",2018-01-18 08:55EST,Critiques de spectacles
"
Mark MCLAUGHLINAgence France-PresseÉdimbourg",2018-01-18 08:56EST,International
"
Tommy ChouinardLa PresseSuivre @ChouinardT",2018-01-18 09:01EST,Santé
"
Émilie CôtéLa PresseSuivre @emicote",2018-01-18 09:02EST,Juste pour rire
"
Agence France-PresseParis",2018-01-18 09:02EST,Énergie et ressources
"
Denis Lessard, Hugo Pilon-LaroseLa PresseSuivre @hugopilonlarose",2018-01-18 09:08EST,Politique québécoise
"
Agence France-PresseLondres",2018-01-18 09:06EST,Nouvelles
"
Agence France-PresseNew York",2018-01-18 09:09EST,Entreprises
"
Denis LessardLa PresseSuivre @denis_lessard",2018-01-18 09:14EST,Politique québécoise
"
Agence France-PresseIstanbul",2018-01-18 09:12EST,Europe
"
La Presse CanadienneToronto",2018-01-18 09:19EST,Économie
"
Bruno BissonLa Presse",2018-01-18 09:21EST,National
"
Josée LapointeLa Presse",2018-01-18 09:35EST,Musique
"
Daniel BOSQUEAgence France-PresseBARCELONE",2018-01-18 09:34EST,Europe
"
Iris Gagnon-ParadisLa Presse",2018-01-18 09:43EST,Santé
"
Pierre-André NormandinLa PresseSuivre @PaNormandin",2018-01-18 09:45EST,Grand Montréal
"
AFP-PCAgence France-Presse",2018-01-18 09:44EST,Marchés
"
Agence France-PresseBEYROUTH",2018-01-18 09:44EST,Moyen-Orient
"
Christiane DesjardinsLa PresseSuivre @chridesjardins",2018-01-18 09:50EST,Décoration
"
Louis-Samuel PerronLa PresseSuivre @lsp_10",2018-01-18 09:53EST,Procès
"
Agence France-PresseMoscou",2018-01-18 09:53EST,États-Unis
"
Hugo Pilon-Larose, Marie-Eve MorasseLa PresseSuivre @marieevemo",2018-01-18 09:58EST,Éducation
"
Associated PressBratislava, Slovaquie",2018-01-18 10:00EST,Hockey
"
Iris Gagnon-ParadisLa Presse",2018-01-18 09:59EST,Restaurants
"
Agence France-PresseÀ bord de l'avion papal",2018-01-18 10:05EST,Insolite
"
Hugo Pilon-LaroseLa Presse",2018-01-18 10:11EST,Santé
"
Agence France-PresseWASHINGTON",2018-01-18 10:13EST,La menace nord-coréenne
"
Pierre-Marc DurivageLa Presse",2018-01-18 10:17EST,Amérique latine
"
La Presse Canadienne",2018-01-18 10:16EST,Soccer
"
Agence France-Presse",2018-01-18 10:18EST,Europe
"
Agence France-PresseNICE",2018-01-18 10:30EST,Europe
"
Agnès PEDRERO, Jean-Louis SANTINIAgence France-PresseGenève et Washington",2018-01-18 10:38EST,Changements climatiques
"
Agence France-PresseNew York",2018-01-18 10:38EST,Actualités
"
La Presse",2018-01-18 10:43EST,Appel à tous
"
Agence France-PresseMoscou",2018-01-18 10:55EST,Ukraine
"
Associated PressBarcelone",2018-01-18 11:05EST,Soccer
"
Agence France-PresseWASHINGTON",2018-01-18 11:07EST,États-Unis
"
Mylène CrêteLa Presse CanadienneOttawa",2018-01-18 11:12EST,Politique canadienne
"
Agence France-PresseDAMAS",2018-01-18 11:24EST,Guerre civile en Syrie
"
Stéphanie MarinLa Presse Canadienne",2018-01-18 11:28EST,Procès
"
Pierre-André NormandinLa PresseSuivre @PaNormandin",2018-01-18 11:36EST,Grand Montréal
"
Agence France-PresseWashington",2018-01-18 11:37EST,États-Unis
"
Julien ArsenaultLa Presse CanadienneMONTRÉAL",2018-01-18 11:39EST,Entreprises
"
Mario CloutierLa Presse",2018-01-18 11:44EST,Nouvelles
"
La Presse Canadienne",2018-01-18 11:46EST,Football
"
André DuchesneLa Presse",2018-01-18 11:48EST,Festival de Sundance
"
Marc CassiviLa PresseSuivre @MarcCassivi",2018-01-18 12:01EST,Télévision
"
Javier TOVAR, Elodie MAZEINAgence France-PresseRiverside et Washington",2018-01-18 12:01EST,États-Unis
"
Hugo Pilon-LaroseLa PresseSuivre @hugopilonlarose",2018-01-18 12:01EST,Politique québécoise
"
Agence France-PresseNew York",2018-01-18 12:08EST,Énergie et ressources
"
Frédéric MurphyLa Presse",2018-01-18 12:12EST,Vie de stars
"
La Presse CanadienneSAINT-JÉROME",2018-01-18 12:15EST,Spectacles et théâtre
"
Agence France-Presse",2018-01-18 12:22EST,Actualités
"
Mylène CrêteLa Presse CanadienneOttawa",2018-01-18 12:23EST,Environnement
"
Agence France-PresseLausanne, Suisse",2018-01-18 12:50EST,PyeongChang 2018
"
Agence France-PresseNew York",2018-01-18 12:51EST,Guerre civile en Syrie
"
Gabriel BélandLa PresseSuivre @gabrielbeland",2018-01-18 12:56EST,Politique canadienne
"
Agence France-PresseBordeaux",2018-01-18 13:24EST,Actualités
"
Alexander PanettaLa Presse CanadienneWashington",2018-01-18 13:30EST,International
"
La Presse Canadienne",2018-01-18 13:27EST,Soccer
"
Agence France-PresseWashington",2018-01-18 13:35EST,États-Unis
"
Gabriel BélandLa PresseSuivre @gabrielbeland",2018-01-18 13:54EST,Politique canadienne
"
Louis-Samuel PerronLa PresseSuivre @lsp_10",2018-01-18 14:15EST,Procès
"
Nathalie CollardLa PresseSuivre @NathalieCollard",2018-01-18 14:33EST,Livres
"
Agence France-PresseParis",2018-01-18 14:33EST,Réseaux sociaux
"
Jonah MANDELAgence France-PresseKissufim",2018-01-18 14:36EST,Moyen-Orient
"
",2018-01-18 14:40EST,Finance
"
La Presse CanadienneKensington",2018-01-18 14:50EST,Insolite
"
Frankie TAGGARTAgence France-PresseLOS ANGELES",2018-01-18 14:42EST,Télévision
"
Éric ClémentLa PresseSuivre @Eric_Clement",2018-01-18 14:55EST,Arts visuels
"
Agence France-PresseNEW YORK",2018-01-18 14:57EST,Énergie et ressources
"
Agence France-PresseZurich",2018-01-18 15:08EST,Gourmand
"
Agence France-PresseROME",2018-01-18 15:12EST,Internet
"
La Presse CanadienneToronto",2018-01-18 15:26EST,Football
"
Patrick FORTAgence France-PresseABIDJAN",2018-01-18 15:23EST,Mode
"
La Presse CanadienneMONTRÉAL",2018-01-18 15:41EST,Transports
"
Agence France-PresseParis",2018-01-18 15:42EST,Livres
"
Vincent Larouche, Daniel RenaudLa PresseSuivre @DanielRenaud13",2018-01-18 15:40EST,Affaires criminelles
"
Julien ArsenaultLa Presse CanadienneMONTRÉAL",2018-01-18 15:51EST,Transports
"
Lia LévesqueLa Presse CanadienneMONTRÉAL",2018-01-18 15:56EST,Entreprises
"
Agence France-PresseRio de Janeiro",2018-01-18 16:00EST,Environnement
"
Agence France-Presse",2018-01-18 16:03EST,Applications
"
La Presse CanadienneEdmonton",2018-01-18 16:03EST,Hockey
"
La Presse CanadiennePHILADELPHIE",2018-01-18 16:11EST,Nouvelles
"
Marie-Eve MorasseLa PresseSuivre @marieevemo",2018-01-18 16:13EST,Politique québécoise
"
La Presse Canadienne",2018-01-18 16:18EST,Agroalimentaire
"
David FriendLa Presse CanadienneTORONTO",2018-01-18 16:18EST,Musique
"
Simon-Olivier LorangeLa Presse",2018-01-18 16:20EST,Faits divers
"
Marc JOURDIERAgence France-PresseTÉHÉRAN",2018-01-18 16:23EST,Musique
"
Associated PressFOXBOROUGH, Mass.",2018-01-18 17:14EST,Football
"
Colin PerkelLa Presse CanadienneToronto",2018-01-18 17:26EST,National
"
Pierre Saint-ArnaudLa Presse CanadienneMontréal",2018-01-18 17:35EST,Énergie et ressources
"
Agence France-PressePark City",2018-01-18 17:55EST,Cinéma
"
Nova SafoAgence France-PresseChicago",2018-01-18 18:48EST,Athlétisme
"
Ronald BlumAssociated PressNEW YORK",2018-01-18 19:00EST,Baseball
"
Agence France-PresseWashington",2018-01-18 19:40EST,États-Unis
"
Agence France-PresseRio de Janeiro",2018-01-18 19:45EST,Amérique latine
"
Agence France-PresseNew York",2018-01-18 20:05EST,Basketball
"
Paola LoriggioLa Presse CanadienneTORONTO",2018-01-18 20:21EST,National
"
Agence France-PresseWASHINGTON",2018-01-18 20:29EST,États-Unis
"
Sidhartha BanerjeeLa Presse Canadienne",2018-01-18 20:43EST,Grand Montréal
"
Mike CranstonAssociated PressPHILADELPHIE",2018-01-18 21:41EST,Hockey
"
Associated PressMelbourne, Australie",2018-01-18 21:44EST,Tennis
"
Isabelle DucasLa PresseSuivre @isaducas",2018-01-18 21:51EST,National
"
La Presse CanadienneQuébec",2018-01-18 22:02EST,Politique canadienne
"
Agence France-PresseNEW YORK",2018-01-18 22:40EST,États-Unis
"
Associated PressNEW YORK",2018-01-18 22:47EST,Hockey
"
Darren DesaulniersLa Presse CanadienneOttawa",2018-01-18 22:51EST,Hockey
"
Mark DidtlerAssociated PressTampa, Floride",2018-01-18 22:57EST,Hockey
"
Mathias BrunetSuivre @mathiasbrunet",2018-01-18 10:27EST,Mathias Brunet
"
Richard HétuSuivre @richardhetu",2018-01-18 16:06EST,International
"
Richard HétuSuivre @richardhetu",2018-01-18 09:04EST,International
"
Richard HétuSuivre @richardhetu",2018-01-18 14:12EST,International
"
Richard HétuSuivre @richardhetu",2018-01-18 18:31EST,International
"
Richard HétuSuivre @richardhetu",2018-01-18 07:31EST,International
"
Sophie Allard, Bernard BraultLa PresseSuivre @BernardBrault",2018-01-19 10:00EST,Patinage de vitesse
"
Isabelle ClémentCollaboration spécialeLa Presse",2018-01-19 08:00EST,Maison
"
Stéphane LaporteCollaboration spécialeLa PresseSuivre @laportestephane",2018-01-19 00:02EST,Le clin d'oeil de Stéphane Laporte
"
Alexandre SiroisÉditorialisteLa PresseSuivre @alexandresirois",2018-01-19 05:00EST,Alexandre Sirois
"
Francis VaillesLa PresseSuivre @fvailles",2018-01-19 05:00EST,Francis Vailles
"
Pierre-André NormandinLa PresseSuivre @PaNormandin",2018-01-19 00:02EST,Grand Montréal
"
Simon-Olivier LorangeLa Presse",2018-01-19 05:00EST,Grand Montréal
"
Philippe MercureLa PresseSuivre @philmercure",2018-01-19 05:00EST,Santé
"
Caroline TouzinLa PresseSuivre @ctouzin",2018-01-19 05:00EST,Santé
"
Agence France-PresseMOSCOU",2018-01-19 06:16EST,Europe
"
Daniel BOSQUEAgence France-PresseBARCELONE",2018-01-19 06:23EST,Europe
"
André DubucLa Presse",2018-01-19 06:29EST,Immobilier
"
La Presse Canadienne",2018-01-19 06:36EST,Musique
"
Vincent Brousseau-PouliotLa PresseSuivre @vincentbp",2018-01-19 06:44EST,Économie
"
La Presse Canadienne",2018-01-19 06:56EST,Faits divers
"
Agence France-PresseROME",2018-01-19 06:58EST,Europe
"
Agence France-PresseGENÈVE",2018-01-19 07:03EST,Europe
"
Agence France-PresseMOSCOU",2018-01-19 07:09EST,Europe
"
Joël-Denis BellavanceLa Presse",2018-01-19 07:29EST,Canada
"
Karim BenessaiehLa PresseSuivre @karimbai",2018-01-19 07:33EST,Commerce de détail
"
Yves TherrienLe SoleilSuivre @YTherrien",2018-01-19 07:38EST,Commerce de détail
"
La Presse Canadienne",2018-01-19 07:45EST,Politique canadienne
"
La Presse Canadienne",2018-01-19 07:51EST,Faits divers
"
La Presse Canadienne",2018-01-19 07:58EST,Affaires criminelles
"
Emmanuelle MICHELAgence France-PresseMADRID",2018-01-19 08:14EST,Actualités
"
Robin MILLARDAgence France-PresseLondres",2018-01-19 08:28EST,Livres
"
Associated PressWASHINGTON",2018-01-19 08:30EST,États-Unis
"
Maxime BergeronLa PresseSuivre @maxbergeron",2018-01-19 08:52EST,Grand Montréal
"
Bruno BissonLa Presse",2018-01-19 08:58EST,Grand Montréal
"
André DuchesneLa Presse",2018-01-19 09:06EST,Télévision
"
Marc CassiviLa PresseSuivre @MarcCassivi",2018-01-19 09:11EST,Critiques
"
Associated PressPARIS",2018-01-19 09:08EST,Énergie et ressources
"
Nathalie PetrowskiLa PresseSuivre @NPetrowski",2018-01-19 09:20EST,Critiques
"
Émilie CôtéLa PresseSuivre @emicote",2018-01-19 09:24EST,Critiques
"
Isabelle Ducas, Philippe Teisceira-LessardLa PresseSuivre @Philippetei",2018-01-19 09:25EST,Éducation
"
Agence France-PresseNEW YORK",2018-01-19 09:21EST,Politique verte
"
Alexandre Geoffrion-McInnisLa Presse Canadienne",2018-01-19 09:30EST,Ski acrobatique
"
François BontouxAgence France-PresseMelbourne, Australie",2018-01-19 09:35EST,Tennis
"
Eric WillemsenAssociated PressKitzbühel, Autriche",2018-01-19 09:40EST,Ski alpin
