http://m.ledevoir.com/article-516645,Le directeur du New York City Ballet démissionne après des accusations ,"

Agence France-Presse 
",culture
http://m.ledevoir.com/article-516646,Batherson et le Canada défont la Suisse 8-2 ,"

La Presse canadienne 
",sports
http://m.ledevoir.com/article-516647,Une délégation nord-coréenne sera-t-elle des Jeux d’hiver? ,"

Agence France-Presse 
",sports
http://m.ledevoir.com/article-516648,Denis Shapovalov s’incline à Brisbane ,"
John Pye - Associated Press
",sports
http://m.ledevoir.com/article-516649,Déjouer l’Alzheimer avec les mathématiques ,"

Karl Rettino-Parazelli
",societe
http://m.ledevoir.com/article-516650,Trois-Rivières: un enfant de trois ans meurt dans un incendie ,"

La Presse canadienne 
",societe
http://m.ledevoir.com/article-516651,Canada: les p.-d.g. ont déjà empoché le salaire annuel du travailleur moyen ,"
Roxanne Ocampo - La Presse canadienne
",economie
http://m.ledevoir.com/article-516652,Une nouvelle vague de froid polaire est annoncée ,"

Annabelle Caillou
",societe
http://m.ledevoir.com/article-516653,Corée du Nord: Trump se vante d'avoir le «plus gros» bouton nucléaire ,"

Agence France-Presse 
",monde
http://m.ledevoir.com/article-516654,Égypte: une chanteuse détenue pour «incitation à la débauche» ,"

Agence France-Presse 
",monde
http://m.ledevoir.com/article-516655,Pérou: un accident d’autocar fait des dizaines de morts ,"

Agence France-Presse 
",non-classe
http://m.ledevoir.com/article-516656,«Charlie Hebdo» travaille dans un bunker ,"
Séverine Rouby - Agence France-Presse
",monde
http://m.ledevoir.com/article-516657,Une révolte iranienne limitée ,"

Le Devoir
",monde
http://m.ledevoir.com/article-516658,Six pays font leur entrée au Conseil de sécurité de l’ONU ,"

Agence France-Presse 
",monde
http://m.ledevoir.com/article-516659,Ukraine: vague d’indignation après le meurtre d’une avocate ,"

Agence France-Presse 
",monde
http://m.ledevoir.com/article-516660,Trump menace de couper l’aide financière aux Palestiniens ,"

Agence France-Presse 
",non-classe
http://m.ledevoir.com/article-516661,"Un nouvel incendie dans le Bronx fait vingt-trois blessés, dont neuf enfants ","

Agence France-Presse 
",monde
http://m.ledevoir.com/article-516662,L’ayatollah Khamenei accuse les «ennemis» de l’Iran ,"
Siavosh Ghazi - Agence France-Presse
",monde
http://m.ledevoir.com/article-516663,Un Noël de surprises gourmandes ,"

Guillaume Lepage
",societe
http://m.ledevoir.com/article-516664,Ce qu’il faut surveiller au cours de 2018 ,"

Le Devoir
",non-classe
