http://m.ledevoir.com/article-533480,"Au Zimbabwe, les électeurs votent en masse dans l’espoir d’enterrer l’ère Mugabe ","
Fanuel Jongwe - Agence France-Presse et 
                
                        
                                
                                Susan Njanji - Agence France-Presse
",monde
http://m.ledevoir.com/article-533481,Bombardier: commande de la SNCF pour 36 trains Francilien ,"

La Presse canadienne 
",economie
http://m.ledevoir.com/article-533482,Tarifs: les producteurs de grains québécois demandent l’aide des gouvernements ,"

La Presse canadienne 
",economie
http://m.ledevoir.com/article-533484,Un avion d’Air Canada cause la fermeture d'une piste à l’aéroport de Tokyo-Narita ,"

Agence France-Presse 
",societe
http://m.ledevoir.com/article-533485,Les incendies font au moins huit morts en Californie ,"
Gianrigo Marletta - Agence France-Presse
",monde
http://m.ledevoir.com/article-533486,Le Grincheux du 30 juillet ,"

Pascal 
",societe
http://m.ledevoir.com/article-533487,Le conseil municipal de Toronto dénonce la décision de Ford ,"
Michelle McQuigge  - La Presse canadienne et 
                
                        
                                
                                Paola Loriggio - La Presse canadienne
",politique
http://m.ledevoir.com/article-533488,Déjà 8500 demandes pour des plaques d’immatriculation personnalisées ,"

La Presse canadienne 
",societe
http://m.ledevoir.com/article-533489,Un incendie de forêt en Ontario menace la route Transcanadienne ,"

La Presse canadienne 
",societe
http://m.ledevoir.com/article-533490,Le groupe EI enlève une trentaine de femmes et d’enfants ,"
Layal Abou Rahal - Agence France-Presse
",monde
http://m.ledevoir.com/article-533491,Une cycliste de 16 ans gravement blessée à Montréal ,"

Annabelle Caillou
",societe
http://m.ledevoir.com/article-533492,Les sanctions américaines contre la Russie maintenues ,"

Agence France-Presse 
",economie
http://m.ledevoir.com/article-533493,"Comic Sans, la police honnie par les graphistes ","

Jeanne Corriveau
",societe
http://m.ledevoir.com/article-533494,Nucléaire: Donald Trump prêt à rencontrer les dirigeants iraniens «quand ils veulent» ,"
Francesco Fontemaggi - Agence France-Presse
",monde
http://m.ledevoir.com/article-533495,"Charles Leclerc, vedette montante de la Formule 1 ","
Jérôme Pugmire - Associated Press
",sports
http://m.ledevoir.com/article-533496,Un béluga en cavale ,"

Alexandre Shields
",societe
http://m.ledevoir.com/article-533497,La France interdit les cellulaires dans les écoles et collèges ,"

Agence France-Presse 
",monde
http://m.ledevoir.com/article-533498,Québec débloque 8 millions pour la filière de l’hydrogène ,"

Karl Rettino-Parazelli
",economie
http://m.ledevoir.com/article-533499,«Adoptions forcées»: le besoin d’un soutien réel ,"
Louise Bienvenue
",opinion
http://m.ledevoir.com/article-533500,En territoire inculte occupé ,"
Robert Laplante
",opinion
http://m.ledevoir.com/article-533501,Le Tour de France a manqué de suspense ,"
Samuel Pétrequin - Associated Press
",sports
http://m.ledevoir.com/article-533502,«XYZ»: il n’a jamais été question de censure ,"
Vanessa Courville
",opinion
http://m.ledevoir.com/article-533504,Jeu en ligne: l'inaction fédérale ,"


Robert Dutrisac
",opinion
http://m.ledevoir.com/article-533505,«L’économie est à l’écologie ce que l’astrologie est à l’astronomie» ,"
Pierre-Alain Cotnoir
",opinion
http://m.ledevoir.com/article-533506,Une sculpture détruite à Baie-Saint-Paul ,"
Serge Gauthier
",opinion
http://m.ledevoir.com/article-533507,La parole à nos lecteurs ,"
",non-classe
http://m.ledevoir.com/article-533508,Jarome Iginla a fait ses adieux à la LNH ,"

La Presse canadienne 
",sports
http://m.ledevoir.com/article-533509,"Robert Lepage, René Lévesque et Mary Two-Axe Early ","
Michèle Rouleau
",opinion
http://m.ledevoir.com/article-533510,Uber abandonne le camion autonome ,"

Agence France-Presse 
",economie
http://m.ledevoir.com/article-533511,Bombardier vend d’autres trains Francilien ,"

La Presse canadienne 
",economie
http://m.ledevoir.com/article-533512,L’économie à la demande s’inscrit dans la normalité ,"

Gérard Bérubé
",economie
http://m.ledevoir.com/article-533513,WSP fera l’acquisition de la société américaine Louis Berger ,"

La Presse canadienne 
",economie
http://m.ledevoir.com/article-533514,CGI Federal obtient un contrat du gouvernement américain ,"

La Presse canadienne 
",economie
http://m.ledevoir.com/article-533515,PSP choisit son chef des placements ,"

Le Devoir
",economie
http://m.ledevoir.com/article-533516,Brittany Marchand se qualifie pour l’Omnium de golf britannique ,"

La Presse canadienne 
",sports
http://m.ledevoir.com/article-533517,Football: Manziel pourrait jouer vendredi avec les Alouettes ,"

La Presse canadienne 
",sports
http://m.ledevoir.com/article-533518,ADM enregistre un bond de 7% dans l’achalandage ,"

La Presse canadienne 
",economie
http://m.ledevoir.com/article-533519,Aéroplan: Air Canada devra en ajouter ,"

La Presse canadienne 
",economie
http://m.ledevoir.com/article-533520,Taux d’intérêt: des impacts plus grands pour les jeunes ménages ,"
Andy Blatchford - La Presse canadienne
",economie
http://m.ledevoir.com/article-533521,"Migrants: à contre-courant, Sarajevo affiche sa solidarité ","
Mersiha Nezic - Libération
",monde
http://m.ledevoir.com/article-533522,Pakistan: Imran Khan face aux défis de la présidence ,"
David Stout - Agence France-Presse
",monde
http://m.ledevoir.com/article-533523,Le Canada recueillera les empreintes de ses visiteurs ,"

Hélène Buzzetti
",politique
http://m.ledevoir.com/article-533524,Dernier hommage pour les victimes de Toronto ,"
Michelle McQuigge  - La Presse canadienne
",politique
http://m.ledevoir.com/article-533525,"Femmes et aînés, les oubliés des essais cliniques sur les maladies du coeur ","

Guillaume Lepage
",societe
http://m.ledevoir.com/article-533526,Notre choix ce soir ,"

Amélie Gaudreau
",culture
http://m.ledevoir.com/article-533527,La nostalgie n’est plus ce qu’elle était ,"

François Lévesque
",culture
